timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
500,10,1500,100,0.0003,1,8,1,2,99.59,98.89,99.56,0.003991313278675079,0.011281986720860004,0.003997900057584047,99.59,98.89,99.56,5.738568305969238,15.415155410766602,5.388532638549805,0.02369573004543781,0.0015338687682440904,155.89,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,16,1500,100,0.0003,1,8,1,2,99.6,98.96,99.54,0.003953931853175163,0.010570968501269817,0.004166894592344761,99.6,98.96,99.54,5.585230350494385,16.27093505859375,6.195457935333252,0.019796936307102442,0.0012532659734459336,148.35,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,21,1500,100,0.0003,1,8,1,2,99.61,99.04,99.55,0.0038239541463553905,0.009784691967070103,0.0040709334425628185,99.61,99.04,99.55,5.481733322143555,15.539651870727539,5.793568134307861,0.017257782192900778,0.0011033083558360454,155.13,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,26,1500,100,0.0003,1,8,1,2,99.62,99.08,99.56,0.003698440734297037,0.009411808103322983,0.004030642099678516,99.62,99.08,99.56,5.240045070648193,14.871338844299316,5.416808128356934,0.014886939376592636,0.0010019077769095942,148.27,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,31,1500,100,0.0003,1,8,1,2,99.63,99.08,99.57,0.0035992690827697515,0.009400898590683937,0.0039321077056229115,99.63,99.08,99.57,4.996435642242432,14.50473403930664,5.1471123695373535,0.012990969261154532,0.0009010696940362106,157.77,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,36,1500,100,0.0003,1,8,1,2,99.64,99.07,99.58,0.003566641127690673,0.009498346596956253,0.003825880354270339,99.64,99.07,99.58,5.01462459564209,14.556634902954102,5.114651679992676,0.011575711704790593,0.0008509215242833193,157.01,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,42,1500,100,0.0003,1,8,1,2,99.66,99.1,99.59,0.0033178546000272036,0.009169219061732292,0.0037542791105806828,99.66,99.1,99.59,4.568412780761719,13.826414108276367,4.7865424156188965,0.01009177738800645,0.0007844871120075587,156.35,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,47,1500,100,0.0003,1,8,1,2,99.69,99.19,99.59,0.003028159961104393,0.008250311948359013,0.0037597003392875195,99.69,99.19,99.59,3.8828165531158447,11.952052116394043,4.434654712677002,0.008973317346535623,0.0007312892986391795,152.92,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,52,1500,100,0.0003,1,8,1,2,99.7,99.28,99.61,0.002900980645790696,0.007339928764849901,0.0035955235362052917,99.7,99.28,99.61,3.559918165206909,10.644411087036133,4.0669050216674805,0.008107402510941029,0.000674367706362796,148.06,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,57,1500,100,0.0003,1,8,1,2,99.72,99.29,99.63,0.0027870209887623787,0.007219820749014616,0.00344574055634439,99.72,99.29,99.63,3.299143075942993,10.171217918395996,3.6742515563964844,0.007216245718300342,0.0006149189088198744,152.85,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,63,1500,100,0.0003,1,8,1,2,99.73,99.31,99.66,0.002700336743146181,0.007076303008943796,0.0032148193567991257,99.73,99.31,99.66,3.2123923301696777,9.935274124145508,3.346923589706421,0.0063346876204013825,0.0005561346149212467,152.62,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,68,1500,100,0.0003,1,8,1,2,99.74,99.36,99.68,0.002601534128189087,0.006535249762237072,0.0030416850931942463,99.74,99.36,99.68,3.1168787479400635,9.237792015075684,3.130186080932617,0.0056527481600642205,0.0004987266139440288,157.08,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,73,1500,100,0.0003,1,8,1,2,99.74,99.41,99.69,0.0025530538987368345,0.006031722296029329,0.0029280914459377527,99.74,99.41,99.69,3.1120657920837402,8.655317306518555,3.012864589691162,0.005061015682294965,0.0004436345457669173,156.64,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,78,1500,100,0.0003,1,8,1,2,99.74,99.44,99.69,0.0025282527785748243,0.005769859068095684,0.0028854343108832836,99.74,99.44,99.69,3.1391050815582275,8.545166969299316,2.9991955757141113,0.004548411185387522,0.00040636470514983846,152.96,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,83,1500,100,0.0003,1,8,1,2,99.75,99.44,99.71,0.0024754793848842382,0.005694517400115728,0.0027626794762909412,99.75,99.44,99.71,3.15443754196167,8.739563941955566,2.981860637664795,0.004110085775610059,0.00036627388303095567,148.81,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,89,1500,100,0.0003,1,8,1,2,99.76,99.47,99.72,0.002406640211120248,0.005448945797979832,0.002626609755679965,99.76,99.47,99.72,3.1790964603424072,8.684453010559082,3.0004830360412598,0.003648372075986117,0.0003064980605071222,147.62,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,94,1500,100,0.0003,1,8,1,2,99.78,99.43,99.73,0.0022054407745599747,0.005816534627228975,0.002505118027329445,99.78,99.43,99.73,3.039369583129883,9.297811508178711,3.0123109817504883,0.0032069568219594657,0.00025753273239806823,155.36,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,99,1500,100,0.0003,1,8,1,2,99.79,99.47,99.74,0.0021034462843090296,0.005359481554478407,0.002463909797370434,99.79,99.47,99.74,3.017789840698242,9.069050788879395,3.090688467025757,0.003000043814536184,0.00023846232600170962,150.28,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,110,1500,100,0.0003,1,8,1,2,99.79,99.52,99.75,0.0020624317694455385,0.004905642941594124,0.00238916021771729,99.79,99.52,99.75,2.906371593475342,8.212239265441895,2.7428650856018066,0.0026067585265263913,0.00020161735143540412,150.42,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,130,1500,100,0.0003,1,8,1,2,99.81,99.55,99.76,0.0018624067306518555,0.004637112375348806,0.002279861131682992,99.81,99.55,99.76,2.6642816066741943,8.340848922729492,2.7736012935638428,0.002186042858520523,0.0001555220818677925,157.78,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,151,1500,100,0.0003,1,8,1,2,99.82,99.53,99.57,0.001823273953050375,0.004795780871063471,0.00406919838860631,99.82,99.53,99.57,2.7040677070617676,10.154659271240234,4.553407669067383,0.001917798975482583,0.0001386198103355349,153.93,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,171,1500,100,0.0003,1,8,1,2,99.76,99.46,99.39,0.0023900899104774,0.005463478155434132,0.005715133622288704,99.76,99.46,99.39,3.6065495014190674,10.323125839233398,6.6401166915893555,0.0020255936216562985,0.00018089318375892076,153.41,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,192,1500,100,0.0003,1,8,1,2,99.69,98.75,98.55,0.003143408102914691,0.01263480819761753,0.013131762854754925,99.69,98.75,98.55,5.3686041831970215,30.323644638061523,21.609189987182617,0.0019323524925857782,0.00018756921615867641,156.9,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,212,1500,100,0.0003,1,8,1,2,99.53,98.61,97.9,0.004735475871711969,0.014012709259986877,0.018677018582820892,99.53,98.61,97.9,8.032646179199219,35.20970153808594,36.020416259765625,0.0018653780920431019,0.0001976439957698654,156.15,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,233,1500,100,0.0003,1,8,1,2,99.4,98.54,97.5,0.006054688710719347,0.014823267236351967,0.02215723693370819,99.4,98.54,97.5,9.86987018585205,36.21919250488281,45.472694396972656,0.0018107340415008367,0.00019988546458758416,155.26,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,253,1500,100,0.0003,1,8,1,2,99.62,98.68,98.39,0.0037719658575952053,0.0134216183796525,0.014558428898453712,99.62,98.68,98.39,6.557480335235596,32.12892532348633,24.910648345947266,0.0014846538798883558,7.607983575409035e-05,155.28,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,274,1500,100,0.0003,1,8,1,2,99.69,98.84,98.68,0.0031538966577500105,0.011765575036406517,0.012093792669475079,99.69,98.84,98.68,5.144218921661377,27.311891555786133,18.530235290527344,0.001616227210033685,0.00012406027586053944,155.44,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,294,1500,100,0.0003,1,8,1,2,99.74,98.89,98.9,0.0025748135522007942,0.011283839121460915,0.010135631076991558,99.74,98.89,98.9,4.074599266052246,26.352222442626953,14.354649543762207,0.0015846485027577728,0.00011755241188528371,153.23,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,315,1500,100,0.0003,1,8,1,2,99.8,98.99,99.21,0.0020134157966822386,0.010267063975334167,0.007385252974927425,99.8,98.99,99.21,2.918658971786499,23.513025283813477,9.14755630493164,0.0015470641176216304,0.00012104439923225166,150.71,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
